trial	workers	seed	wall_s	sum_execs	sum_eps	min_execs	max_execs	rcs
1	1	1	120	92631418	771928.483333	92631418	92631418	0
1	4	1	120	368883168	3074026.400000	91802829	92500158	0,0,0,0
1	8	1	120	551939009	4599491.741667	68291897	69471966	0,0,0,0,0,0,0,0
2	1	2	120	92169466	768078.883333	92169466	92169466	0
2	4	2	120	367211411	3060095.091667	91712121	91947404	0,0,0,0
2	8	2	120	551269690	4593914.083333	68428233	69522226	0,0,0,0,0,0,0,0
3	1	3	120	91863377	765528.141667	91863377	91863377	0
3	4	3	120	367185058	3059875.483333	90996240	92201134	0,0,0,0
3	8	3	120	546851580	4557096.500000	67933596	69092426	0,0,0,0,0,0,0,0
